Valeurfonciere,Codepostal,Codedepartement,Surfacereellebati,Nombrepiecesprincipales,Typelocal_Appartement,Typelocal_Maison
249350.0,91330.0,91.0,65,3,1,0
455000.0,75001.0,75.0,39,2,1,0
95645.0,40170.0,40.0,40,3,1,0
144000.0,92120.0,92.0,20,1,1,0
220000.0,33740.0,33.0,32,2,0,1
123000.0,93190.0,93.0,31,1,1,0
216500.0,13600.0,13.0,44,2,1,0
105000.0,83260.0,83.0,36,2,1,0
170000.0,93700.0,93.0,52,3,1,0
242550.0,91570.0,91.0,46,2,0,1
1350000.0,75016.0,75.0,151,6,1,0
124500.0,22500.0,22.0,44,3,1,0
143000.0,94500.0,94.0,40,2,1,0
195000.0,76620.0,76.0,87,3,1,0
100000.0,13015.0,13.0,39,2,1,0
131250.0,83250.0,83.0,30,3,1,0
134900.0,77200.0,77.0,25,1,1,0
153000.0,13001.0,13.0,74,3,1,0
230000.0,91420.0,91.0,65,3,1,0
1405000.0,75017.0,75.0,105,5,1,0
52000.0,50600.0,50.0,40,2,1,0
136000.0,13013.0,13.0,65,3,1,0
155150.0,31650.0,31.0,63,3,1,0
0.0,83270.0,83.0,32,2,1,0
2299900.0,75007.0,75.0,144,6,1,0
177000.0,94320.0,94.0,68,3,1,0
74500.0,53000.0,53.0,56,2,1,0
70000.0,42160.0,42.0,79,4,1,0
65000.0,47200.0,47.0,61,3,1,0
1111150.0,75002.0,75.0,86,2,1,0
148000.0,38100.0,38.0,65,4,1,0
154500.0,93110.0,93.0,39,2,1,0
705800.0,75014.0,75.0,65,3,1,0
540000.0,94100.0,94.0,106,3,1,0
80000.0,34200.0,34.0,52,3,1,0
62000.0,74430.0,74.0,20,1,1,0
350000.0,20000.0,0.0,120,5,1,0
159800.0,44100.0,44.0,65,3,1,0
398400.0,75006.0,75.0,32,1,1,0
165000.0,40150.0,40.0,43,2,1,0
110000.0,91310.0,91.0,48,2,1,0
137000.0,75015.0,75.0,24,1,1,0
116000.0,59790.0,59.0,40,2,1,0
65000.0,18000.0,18.0,34,1,1,0
162000.0,74700.0,74.0,70,3,1,0
240000.0,75010.0,75.0,25,2,1,0
112000.0,78125.0,78.0,33,2,1,0
468000.0,83000.0,83.0,50,2,1,0
122000.0,13008.0,13.0,36,2,1,0
52000.0,51000.0,51.0,60,2,1,0
102500.0,31780.0,31.0,42,2,1,0
581900.0,78490.0,78.0,130,5,0,1
158000.0,82600.0,82.0,108,5,0,1
173200.0,17440.0,17.0,44,2,1,0
317500.0,92120.0,92.0,37,2,1,0
295000.0,38640.0,38.0,110,4,0,1
190000.0,94370.0,94.0,45,2,1,0
587500.0,59800.0,59.0,90,3,1,0
167000.0,95130.0,95.0,67,2,1,0
1111300.0,75020.0,75.0,105,5,1,0
29450.0,38410.0,38.0,17,1,1,0
406300.0,92200.0,92.0,26,1,1,0
725000.0,92600.0,92.0,105,4,1,0
257000.0,38130.0,38.0,102,5,1,0
314000.0,91230.0,91.0,126,5,1,0
672500.0,92100.0,92.0,77,3,1,0
56500.0,42000.0,42.0,74,3,1,0
162850.0,51000.0,51.0,125,4,0,1
95000.0,6220.0,6.0,23,1,1,0
289000.0,75020.0,75.0,33,1,1,0
300000.0,4500.0,4.0,32,2,1,0
165000.0,91180.0,91.0,67,3,1,0
95000.0,14160.0,14.0,36,2,0,1
189640.0,75011.0,75.0,16,1,1,0
371000.0,91300.0,91.0,75,4,1,0
263500.0,38000.0,38.0,89,3,1,0
125800.0,82000.0,82.0,80,3,1,0
1045000.0,75011.0,75.0,81,3,1,0
273400.0,78210.0,78.0,81,4,1,0
130000.0,95190.0,95.0,58,2,1,0
399993.0,75019.0,75.0,36,1,1,0
398050.0,75020.0,75.0,36,2,1,0
31000.0,91310.0,91.0,30,1,1,0
45000.0,1130.0,1.0,40,2,1,0
389000.0,33000.0,33.0,68,3,1,0
205000.0,91280.0,91.0,82,4,1,0
50500.0,44600.0,44.0,27,1,1,0
206500.0,33700.0,33.0,53,3,1,0
204000.0,69008.0,69.0,41,2,1,0
1630050.0,75017.0,75.0,120,5,1,0
169500.0,6530.0,6.0,53,3,1,0
38600.0,13016.0,13.0,44,2,1,0
127541.35,40480.0,40.0,33,2,1,0
325000.0,92240.0,92.0,53,3,1,0
452000.0,75014.0,75.0,44,1,1,0
305000.0,84120.0,84.0,69,3,0,1
133000.0,51430.0,51.0,92,3,1,0
89000.0,49100.0,49.0,68,3,1,0
74600.0,77000.0,77.0,18,1,1,0
179200.0,13400.0,13.0,50,2,1,0
120000.0,56270.0,56.0,22,1,1,0
180000.0,11100.0,11.0,76,3,1,0
70000.0,18100.0,18.0,83,3,1,0
